question,topic,document
¿Qué caracteriza a los inmuebles incluidos en la categoría 1 del Programa Parcial de Desarrollo Urbano Sustentable?,PPDUS,10d9d963
¿Cuáles son las intervenciones permitidas para los edificios clasificados como C1?,PPDUS,10d9d963
¿Qué inmuebles están contemplados dentro de la categoría C2? ,PPDUS,afa3965f
¿Qué criterios deben ser aplicados en la intervención de los edificios catalogados bajo la categoría C2?,PPDUS,afa3965f
¿Qué tipo de edificios se encuentra dentro de la categoría del Programa Parcial de Desarrollo Urbano Sustentable que han perdido su unidad formal debido a intervenciones no controladas?,PPDUS,533b4b4b
¿Cuál es el objetivo sugerido para los edificios históricos muy modificados según la categoría C3?,PPDUS,533b4b4b
¿Qué características tienen los edificios de la categoría C4 en el Programa Parcial de Desarrollo Urbano Sustentable?,PPDUS,56520714
¿Cuál es la época a la que se refiere la construcción de los inmuebles clasificados como C4?,PPDUS,56520714
¿Qué criterios define la categoría 5 en el Programa Parcial de Desarrollo Urbano Sustentable respecto a la arquitectura contemporánea?,PPDUS,3445118b
¿Cómo aborda la categoría 5 la conservación de inmuebles con arquitectura contemporánea en el contexto histórico?,PPDUS,3445118b
¿Qué tipo de reservas se establecen según la categoría 6 del Programa Parcial de Desarrollo Urbano Sustentable?,PPDUS,c78f3aa6
Enumeraciones los espacios públicos que se consideran dentro de la categoría 6,PPDUS,c78f3aa6
¿Cómo afecta la gran cantidad de personas que van hacia o desde el Centro Histórico de Puebla al sistema de transporte público?,Consulta Ciudadana,0d7eb7d4
¿Cuál es el resultado directo del movimiento constante hacia y desde el Centro Histórico de Puebla en cuanto a la demanda del transporte público?,Consulta Ciudadana,0d7eb7d4
¿Qué tan alto es la saturación de vialidades debido a la convergencia de rutas de transporte público en el Centro Histórico de Puebla?,Consulta Ciudadana,1832171c
¿Cómo afecta esta alta concentración del tránsito vehicular las edificaciones patrimoniales?,Consulta Ciudadana,1832171c
¿Cómo ha afectado la disminución del 45.7% en la población residente del Centro Histórico a la demanda de transporte público?,Consulta Ciudadana,efaea62a
¿Qué relación existe entre la reducción demográfica en el Centro Histórico y la cantidad de viviendas deshabitadas y la demanda de transporte público?,Consulta Ciudadana,efaea62a
¿De qué manera influye la limitación en la accesibilidad al agua potable en la eficiencia y accesibilidad del sistema de transporte público en el Centro Histórico?,Consulta Ciudadana,6dca1a36
¿Cómo impacta la obsolescencia de la infraestructura de agua potable en el sistema de transporte público y en la gestión de soluciones alternativas para el suministro de agua?,Consulta Ciudadana,6dca1a36
pregunta1,Consulta Ciudadana,78646050
pregunta2,Consulta Ciudadana,78646050
¿De qué manera contribuyen los programas de peatonalización temporal de calles a la sostenibilidad del transporte en el Centro Histórico?,Consulta Ciudadana,580fff11
¿Cómo ayudan los programas de peatonalización temporal a reducir la saturación vehicular y fomentar el uso de modos de transporte sostenibles en el Centro Histórico?,Consulta Ciudadana,580fff11
¿Cuáles son las medidas concretas para ampliar la red de ciclovías en el Centro Histórico de Puebla?,Consulta Ciudadana,9f142786
¿Cómo garantizar una conexión eficiente entre dicha red y estaciones de transporte público en la mencionada zona?,Consulta Ciudadana,9f142786
¿Qué medidas se pueden tomar para reducir la saturación del transporte público en el corazón histórico de Puebla?,Consulta Ciudadana,0baa7b74
¿De qué manera mejorar la reorganización de rutas de tránsito puede preservar los edificios del patrimonio?,Consulta Ciudadana,0baa7b74
¿Qué mejoras son necesarias en la infraestructura del transporte público para reducir contaminación ambiental?,Consulta Ciudadana,4a04eda6
¿Cuál es el plan de acción para renovar vehículos y mejorar paradas y estaciones del transporte público en Puebla?,Consulta Ciudadana,4a04eda6
¿Cómo pueden ayudar a reducir el número de viviendas deshabitadas políticas implementadas para promover accesibilidad en el Centro Histórico?,Consulta Ciudadana,77ac0461
¿Qué estrategias podrían atraer residentes al Centre Histórico después de promover la construcción y rehabilitación de viviendas accesibles?,Consulta Ciudadana,77ac0461
¿Qué campañas pueden implementarse en el Centro Histórico de Puebla para promover la movilidad sostenible?,Consulta Ciudadana,0f99d1d6
¿Cómo las estrategias de difusión informativa pueden impactar positivamente en el uso efectivo del transporte público?,Consulta Ciudadana,0f99d1d6
¿Cómo puede involucrar la participación ciudadana a los residentes del Centro Histórico de Puebla en la planificación y ejecución de proyectos de movilidad y transporte?,Consulta Ciudadana,97ae5892
¿Qué medidas pueden implementarse para asegurar que las necesidades y sugerencias de los residentes sean consideradas en la planificación de dichos proyectos?,Consulta Ciudadana,97ae5892
¿Cómo la colaboración entre instituciones puede ayudar a implementar estrategias de movilidad sostenible y accesibilidad en Puebla?,Consulta Ciudadana,b57e77d5
¿Qué beneficios tiene facilitar que diferentes grupos trabajen juntos para mejorar el acceso al Centro Histórico de Puebla?,Consulta Ciudadana,b57e77d5
¿Qué estaciones del RUTA sirven al área de Héroes de la Reforma y sus cercanías?,RUTA,b8d17330
¿Cuáles son las paradas más cercanas al Mercado de Sabores en el centro histórico de Puebla?,RUTA,b8d17330
¿Qués líneas del RUTA pasan cerca del centro histórico?,RUTA,dad70426
¿Qué líneas de tranvía son las que recorren el área del Centro Histórico?,RUTA,dad70426
¿Qué sistema de transporte público es una red masiva que une a Puebla y sus alrededores?,RUTA,14a98c69
¿Qué municipios forman parte del territorio abarcado por la RUTA?,RUTA,14a98c69
¿Qué aspectos destacan en la organización administrativa y operativa del sistema RUTA?,RUTA,6af8a12b
¿Cuántas líneas troncales y rutas alimentadoras componen el sistema RUTA?,RUTA,6af8a12b
¿Qué características tienen las unidades que ofrecen el servicio en RUTA y qué medidas de seguridad se implementan en las paradas?,RUTA,3460eff4
¿Cómo se garantiza la seguridad de los usuarios del servicio de RUTA y qué tipo de carriles y unidades se utilizan?,RUTA,3460eff4
¿Qué rutas alimentadoras extenden la cobertura del servicio?,RUTA,39505e69
 Cuál es la distancia total recorrida por el servicio de RUTA?,RUTA,39505e69
¿A qué organizaciones está concesionado el servicio de RUTA y quién es responsable de supervisar su calidad?,RUTA,7422d972
¿Quiénes son los encargados de garantizar la supervisión de los servicios de transporte público de personas pasajeras ofrecidos por las empresas concesionarias en el servicio de RUTA?,RUTA,7422d972
¿Por qué se utiliza un sistema de prepago para el acceso al servicio de RUTA?,RUTA,a34a81bd
¿Cómo permite el sistema de prepago que las personas usuarias accedan al servicio?,RUTA,a34a81bd
¿Donde pueden pagar su tarjeta para recargar saldo?,RUTA,e948aed2
¿Pueden hacer dinero en efectivo con su tarjeta?,RUTA,e948aed2
¿Cuántas personas ha transportado el sistema RUTA en promedio durante el primer trimestre de 2024?,RUTA,5d80fbba
¿Qué promedio de pasajeros ha registrado el sistema RUTA en el primer trimestre de 2024?,RUTA,5d80fbba
¿Cuál es el promedio de kilómetros recorridos por el sistema RUTA en el primer trimestre de 2024?,RUTA,07053c4a
¿Cuántos kilómetros ha recorrido en total el sistema RUTA durante el primer trimestre de 2024?,RUTA,07053c4a
¿Cuál es la longitud total del corredor de la Línea 1 de RUTA?,RUTA,73e808e3
¿Cómo se identifican las diferentes estaciones y terminales en la Línea 1 de RUTA?,RUTA,73e808e3
¿Cuál es la longitud del corredor de la Línea 2 de RUTA?,RUTA,e4519dfa
"¿Cuántas estaciones, y un terminal, cuenta la Línea 2 de RUTA?",RUTA,e4519dfa
¿Cuál es la longitud total del corredor de La Línea 3 de RUTA?,RUTA,8ebafe56
¿Cuántas estaciones posee y un terminal La Línea 3 de RUTA?,RUTA,8ebafe56
¿Cuántas rutas alimentadoras tiene la Línea 1 de RUTA?,RUTA,f6e4c4a8
¿Cuán vehículos troncales y alimentadores maneja la Línea 1 de RUTA en total?,RUTA,f6e4c4a8
¿Cuántas rutas alimentadoras tiene totalmente la Línea 2 de RUTA?,RUTA,4792769c
¿Cuánta unidades de vehículos tiene la Línea 2 de RUTA?,RUTA,4792769c
¿Cuántas rutas alimentadoras y cuántos vehículos troncales y alimentadores componen la Línea 3 de RUTA?,RUTA,c2428e9b
¿Qué cantidad de rutas alimentadoras y vehículos se asigna a la Línea 3 del sistema RUTA?,RUTA,c2428e9b
¿Cuántos patios de encierro cuenta la Línea 1?,RUTA,4f47e18b
¿En cuántas secciones tienen los patios de encierro la estaciones de la línea 1?,RUTA,4f47e18b
¿Cuántos patios de encierro existen en la sección Patios de Encierro de la Línea 2?,RUTA,f09792be
¿En cuánta la Línea 2 tiene un patio de encierro?,RUTA,f09792be
¿Cuántos patios de encierro tienen en total todas las secciones de la Línea 3?,RUTA,5ebfb281
¿Cuál es el número de patios de encierros únicos y totales asignados a La Línea 3 de RUTA?,RUTA,5ebfb281
¿Qué tipos de unidades hay en la Línea 1?,RUTA,6e20b539
¿Cuáles son las características especiales de las unidades de servicio exclusivo para mujeres y menores de edad?,RUTA,6e20b539
Qué unidades destacan por ser únicas en la Línea 2 de RUTA,RUTA,af455f9a
¿Incluyen las unidades de servicio exclusivo de la Línea 2 de RUTA algunos padrones entre sus características?,RUTA,af455f9a
¿Qué tipo de unidades exclusivas dispone la Línea 3?,RUTA,866637ff
¿Cuántos padrones y articulados tiene la Línea 3?,RUTA,866637ff
